Store Format,Store Region,Store #,Store Name,Address,City,State,Zip,Phone #
Non-plus,Houston Region,558,Friendswood H-E-B,701 WEST PARKWOOD,FRIENDSWOOD,TX,77546-5405," (281) 996-9967"
Joe V's Smart Shop,Houston Smart Shop,559,Fuqua Smart Shop,6100 W FUQUA,HOUSTON,TX,77085-4072," (713) 413-9300"
Non-plus,San Antonio Region,561,Fredericksburg H-E-B,407 SOUTH ADAMS,FREDERICKSBURG,TX,78624-4146," (830) 997-9950"
Non-plus,Gulf Coast Region,562,Rockport H-E-B,1409 HWY 35 NORTH BUSINESS,ROCKPORT,TX,78382-3314," (361) 729-8230"
Non-plus,Houston Region,563,Riverpark H-E-B,19900 SOUTHWEST FWY,SUGAR LAND,TX,77479-6505," (281) 239-2050"
Non-plus,Houston Region,564,Sawdust Rd and 45 H-E-B,130 SAWDUST ROAD,SPRING,TX,77380-2272," (281) 364-7744"
Non-plus,San Antonio Region,566,Leon Springs H-E-B,"24165 I-H 10 WEST, SUITE 300",SAN ANTONIO,TX,78257-1161," (210) 687-1007"
Non-plus,San Antonio Region,567,Lincoln Heights Market H-E-B,999 EAST BASSE ROAD,SAN ANTONIO,TX,78209-1804," (210) 822-0156"
Non-plus,San Antonio Region,568,Perrin Beitel and Thousand Oaks H-E-B,12018 PERRIN BEITEL ROAD,SAN ANTONIO,TX,78217-2116," (210) 655-9071"
Non-plus,Border Region,570,35 and Del Mar H-E-B,210 WEST DEL MAR BOULEVARD,LAREDO,TX,78041-2205," (956) 712-3005"
Non-plus,Border Region,571,Conway & Griffin Pkwy H-E-B,200 EAST GRIFFIN,MISSION,TX,78572-2912," (956) 424-7908"
Non-plus,Houston Region,574,Tomball Pkwy and Graham H-E-B,28520 TOMBALL PARKWAY,TOMBALL,TX,77375-4546," (281) 255-2250"
Non-plus,Houston Region,575,Bellaire Blvd H-E-B,14498 BELLAIRE,HOUSTON,TX,77083-7520," (281) 776-0143"
Non-plus,Houston Region,576,Louetta and Stuebner H-E-B,7310 LOUETTA,SPRING,TX,77379-7234," (281) 374-7727"
Non-plus,Houston Region,577,Kempwood and Gessner H-E-B,10251 KEMPWOOD,HOUSTON,TX,77043-1803," (713) 996-0009"
Non-plus,Houston Region,579,Woodlands Market H-E-B,9595 SIX PINES RD,THE WOODLANDS,TX,77380-1531," (281) 292-2080"
Non-plus,Central Texas Region,580,Parmer and Whitestone H-E-B,2800 EAST WHITESTONE,CEDAR PARK,TX,78613-7273," (512) 528-0027"
Plus,North West Region,581,Trimmier H-E-B plus!,"2511 TRIMMIER RD, SUITE 100",KILLEEN,TX,76542-1910," (254) 526-9674"
Plus,Central Texas Region,582,Bastrop H-E-B plus!,104 N HASLER BLVD,BASTROP,TX,78602-3740," (512) 321-1011"
Plus,North West Region,583,Woodway H-E-B plus!,9100 WOODWAY DRIVE,WOODWAY,TX,76712-3371," (254) 751-0239"
Non-plus,Gulf Coast Region,584,El Campo H-E-B,306 N. MECHANIC,EL CAMPO,TX,77437-4420," (979) 578-8601"
Non-plus,San Antonio Region,585,Austin Highway H-E-B,1520 AUSTIN HWY,SAN ANTONIO,TX,78218-6039," (210) 828-5076"
Non-plus,Border Region,586,Zapata Highway H-E-B,2314 SOUTH ZAPATA HIGHWAY,LAREDO,TX,78046-6563," (956) 795-0207"
Non-plus,Central Texas Region,587,Kingsland H-E-B,215 RANCH ROAD 2900,KINGSLAND,TX,78639-6105," (325) 388-4601"
Convenience,Convenience Stores,588,Mission H-E-B Convenience Store,2216 NORTH CONWAY,MISSION,TX,78572-2968," (956) 424-7947"
Non-plus,Houston Region,589,Mid County H-E-B,4800 B HWY 365,PORT ARTHUR,TX,77642-7403," (409) 722-1369"
Non-plus,Border Region,590,10th and Trenton H-E-B,901 TRENTON RD,MCALLEN,TX,78504-7705," (956) 618-0073"
Plus,Central Texas Region,591,Round Rock H-E-B plus!,1700 EAST PALM VALLEY BLVD,ROUND ROCK,TX,78664-4677," (512) 388-2649"
Plus,Central Texas Region,592,Leander H-E-B plus!,651 N. US HWY 183,LEANDER,TX,78641-7001," (512) 528-7700"
Non-plus,Central Texas Region,593,Taylor H-E-B,100 N.W.CARLOS G.PARKER BL#101,TAYLOR,TX,76574-7059," (512) 352-2015"
Non-plus,Houston Region,594,Indian Springs H-E-B,10777 KUYKENDAHL ROAD,THE WOODLANDS,TX,77382-2772," (281) 292-8006"
Non-plus,Houston Region,595,N Frazier At Loop 336 H-E-B,2108 NORTH FRAZIER,CONROE,TX,77301-1220," (936) 756-1430"
Plus,Houston Region,596,Grand Parkway H-E-B plus!,6711 SOUTH FRY ROAD,KATY,TX,77494-8100," (281) 392-9500"
Non-plus,Houston Region,599,Buffalo Market H-E-B On Buffalo Speedway,5225 BUFFALO SPEEDWAY,HOUSTON,TX,77005-4210," (713) 218-1800"
Non-plus,Mi Tienda,604,MI TIENDA RESERVE STORE,,HOUSTON,TX,77587-0," (999) 999-9999"
Non-plus,Houston Smart Shop,605,SMART SHOP RESERVE,,HOUSTON,TX,77066-0," (999) 999-9999"
Non-plus,Houston Region,610,Spring Market H-E-B,2121 FM 2920,SPRING,TX,77388-3412," (281) 907-7900"
Non-plus,Central Texas Region,611,Dripping Springs H-E-B,598 E.HWY US 290,DRIPPING SPRINGS,TX,78620-5482," (512) 858-2972"
Non-plus,San Antonio Region,612,La Vernia H-E-B,14414 US HWY 87 WEST,LA VERNIA,TX,78121-5922," (830) 779-1790"
Plus,San Antonio Region,613,Marbach and 410 H-E-B plus!,8219 MARBACH,SAN ANTONIO,TX,78227-1652," (210) 673-4900"
Non-plus,Houston Region,614,Summerwood Market H-E-B,12680 W.LAKE HOUSTON PKWY,HOUSTON,TX,77044-6087," (281) 436-0987"
Non-plus,Houston Region,615,Katy Market H-E-B,25675 NELSON WAY,KATY,TX,77494-5904," (281) 574-1800"
Joe V's Smart Shop,Houston Smart Shop,616,Antoine Smart Shop,12035 ANTOINE,HOUSTON,TX,77066-4415," (281) 895-8668"
Non-plus,Houston Region,617,Lufkin H-E-B,111 NORTH TIMBERLAND DRIVE,LUFKIN,TX,75901-453," (936) 639-1358"
Non-plus,San Antonio Region,618,Babcock H-E-B,5910 BABCOCK RD,SAN ANTONIO,TX,78240-2136," (210) 641-6403"
Non-plus,Houston Region,619,Tower Point Market H-E-B,949 WILLIAM D.FITCH PARKWAY,COLLEGE STATION,TX,77845-4638," (979) 690-4940"
Non-plus,Border Region,620,Pearsall H-E-B,225 SOUTH IH 35,PEARSALL,TX,78061-6630," (830) 334-3374"
Plus,San Antonio Region,621,Boerne H-E-B plus!,420 WEST BANDERA ROAD,BOERNE,TX,78006-2523," (830) 816-2394"
Plus,San Antonio Region,622,Bulverde H-E-B plus!,20725 HWY 46 WEST,SPRING BRANCH,TX,78070-6270," (830) 438-3000"
Plus,San Antonio Region,623,Bandera and 1604 H-E-B plus!,9238 N.LOOP 1604 WEST,SAN ANTONIO,TX,78249-2577," (210) 682-0165"
Non-plus,Border Region,626,San Benito H-E-B,1095 WEST BUSINESS 77,SAN BENITO,TX,78586-4395," (956) 399-0241"
Non-plus,Houston Region,627,Sugar Land Market H-E-B,530 HWY 6,SUGAR LAND,TX,77478-4947," (281) 494-3690"
Convenience,Convenience Stores,628,Riverside H-E-B Convenience Store,2512 E.RIVERSIDE,AUSTIN,TX,78741-3037," (512) 448-3513"
Non-plus,Houston Region,629,HUNTSVILLE  I45/SMITHERS,,,,0-0," (999) 999-9999"
Non-plus,Houston Region,630,Montrose Market H-E-B,1701 WEST ALABAMA ST,HOUSTON,TX,77098-2807," (713) 529-2475"
Non-plus,North West Region,631,Granbury H-E-B,3804 US HWY 377,GRANBURY,TX,76049-7428," (817) 579-2500"
Non-plus,Houston Region,638,North Woodlands Market H-E-B,3601 FM 1488,THE WOODLANDS,TX,77384-3943," (936) 271-2730"
Non-plus,Central Texas Region,639,Mueller H-E-B,1801 E.51ST STREET,AUSTIN,TX,78723-3014," (512) 474-2199"
Joe V's Smart Shop,Houston Smart Shop,640,Uvalde Smart Shop,5609 UVALDE RD,HOUSTON,TX,77049-4523," (281) 454-6947"
Non-plus,Gulf Coast Region,641,Gonzales H-E-B,1841 CHURCH ST.,GONZALES,TX,78629-2406," (830) 672-7595"
Plus,Border Region,642,Pharr H-E-B plus!,1300 SOUTH CAGE BLVD.,PHARR,TX,78577-6293," (956) 781-6121"
Non-plus,Gulf Coast Region,643,Kostoryz and Gollihar H-E-B,4444 KOSTORYZ,CORPUS CHRISTI,TX,78415-5021," (361) 853-9831"
Non-plus,Houston Region,644,Hwy 21 and N Texas Ave H-E-B,1609 NORTH TEXAS AVENUE,BRYAN,TX,77803-1828," (979) 778-1077"
Joe V's Smart Shop,Houston Smart Shop,645,Baytown Smart Shop,3500 GARTH ROAD,BAYTOWN,TX,77521-3813," (281) 420-4047"
Joe V's Smart Shop,Houston Smart Shop,646,Hwy 290 Smart Shop,12009 NORTHWEST FREEWAY,HOUSTON,TX,77092-4901," (713) 683-1720"
Non-plus,Specialty Pharmacies,647,H-E-B Compounding Pharmacy at the MARC,8300 FLOYD CURL DR.STE 105,SAN ANTONIO,TX,78229-3931," (210) 593-0291"
Mi Tienda,Mi Tienda,648,Mi Tienda 2,3800 LITTLE YORK RD,HOUSTON,TX,77093-3616," (713) 697-0847"
Joe V's Smart Shop,Houston Smart Shop,649,Victory Smart Shop,612 N VICTORY DRIVE,HOUSTON,TX,77088-6388," (281) 847-0996"
Convenience,Convenience Stores,651,H-E-B Fresh Bites Convenience Store,"19561 S FM 2790 W, SUITE 1",LYTLE,TX,78052-0," (830) 772-3652"
Central Market,Central Market,653,Dallas Preston Royal Central Market,10720 PRESTON RD   SUITE 1018,DALLAS,TX,75230-8818," (972) 860-6500"
Non-plus,Central Market,654,CM ECOMMERCE,801 N EXPRESSWAY 77,HARLINGEN,TX,78552-0," (999) 999-9999"
Non-plus,San Antonio Region,655,Kerrville H-E-B on Sidney Baker St,313 SIDNEY BAKER SOUTH,KERRVILLE,TX,78028-5916," (830) 896-8030"
Non-plus,Houston Region,656,Fairfield Market H-E-B,28550 US- 290,CYPRESS,TX,77433-4288," (281) 256-6339"
Non-plus,Houston Region,657,Jones and West H-E-B,9503 JONES ROAD,HOUSTON,TX,77065-4814," (281) 894-5361"
Non-plus,San Antonio Region,658,The Market at Stone Oak,23635 WILDERNESS OAK,SAN ANTONIO,TX,78258-0," (210) 482-3300"
Plus,Central Texas Region,659,Lakeline H-E-B plus!,14028 NORTH US 183,AUSTIN,TX,78717-5992," (512) 249-9012"
Non-plus,Houston Region,660,Conroe Market H-E-B,3875 W.DAVIS ST.,CONROE,TX,77304-1837," (936) 760-6800"
Non-plus,Houston Region,662,Texas City H-E-B,3502 PALMER HIGHWAY,TEXAS CITY,TX,77590-6548," (409) 948-9500"
Joe V's Smart Shop,Houston Smart Shop,667,Bellfort Smart Shop,7755 WEST BELLFORT ST,HOUSTON,TX,77071-2104," (713) 721-0100"
Plus,North West Region,668,Copperas Cove H-E-B plus!,2990 EAST HWY 190,COPPERAS COVE,TX,76522-2515," (254) 547-6333"
Non-plus,Border Region,671,Carrizo Springs H-E-B,2030 N. 1ST STREET,CARRIZO SPRINGS,TX,78834-2028," (830) 876-3521"
Plus,North West Region,672,Valley Mills H-E-B plus!,1821 SOUTH VALLEY MILLS DR.,WACO,TX,76711-2119," (254) 710-9400"
Non-plus,Central Texas Region,673,University Blvd H-E-B,250 UNIVERSITY BLVD.,ROUND ROCK,TX,78665-1044," (512) 864-8000"
Non-plus,Border Region,674,Palmhurst H-E-B,120 E. MILE 3 RD,PALMHURST,TX,78573-5070," (956) 580-7407"
Non-plus,Houston Region,675,Pearland Market H-E-B,2710 PEARLAND PARKWAY,PEARLAND,TX,77581-5346," (281) 412-8700"
Non-plus,Border Region,677,Elsa H-E-B,512 E. EDINBURG AVE.,ELSA,TX,78543-9800," (956) 262-1501"
Non-plus,San Antonio Region,678,Valley Hi H-E-B,368 VALLEY HI DRIVE,SAN ANTONIO,TX,78227-4602," (210) 674-3710"
Non-plus,North West Region,679,Cleburne H-E-B,600 W HENDERSON,CLEBURNE,TX,76033-4830," (817) 641-6203"
Non-plus,Houston Region,686,Creekside Park H-E-B,26500 KUYKENDAHL RD,TOMBALL,TX,77375-1478," (281) 205-6500"
Non-plus,Houston Region,687,San Felipe H-E-B,5895 SAN FELIPE STREET,HOUSTON,TX,77057-3061," (713) 278-8450"
Convenience,Convenience Stores,688,Kenedy H-E-B Convenience Store,105 N.SUNSET STRIP,KENEDY,TX,78119-0," (830) 583-0014"
Non-plus,Houston Region,692,Beaumont 6 H-E-B,3590 COLLEGE ST,BEAUMONT,TX,77701-0," (409) 980-5800"
Non-plus,Gulf Coast Region,693,Kenedy H-E-B,107 N. SUNSET STRIP,KENEDY,TX,78119-0," (830) 583-3435"
Plus,San Antonio Region,694,New Braunfels H-E-B plus!,2965 IH35 NORTH,NEW BRAUNFELS,TX,78130-4678," (830) 312-5700"
Plus,Central Texas Region,696,Gattis School H-E-B plus! Hutto,5000 GATTIS SCHOOL RD,HUTTO,TX,78634-2025," (737) 484-0700"
Non-plus,Houston Region,697,League City Market H-E-B,2755 E.LEAGUE CITY PARKWAY,LEAGUE CITY,TX,77573-3360," (281) 334-3758"
Non-plus,Houston Region,698,Grant and Spring Cypress H-E-B,14100 SPRING CYPRESS RD,CYPRESS,TX,77429-6286," (281) 320-3700"
Non-plus,San Antonio Region,699,Nogalitos H-E-B,1601 NOGALITOS,SAN ANTONIO,TX,78204-2427," (210) 212-2600"
Non-plus,Specialty Pharmacies,701,H-E-B SPECIALTY PHARMACY,"3485 FREDERICKSBURG RD,SUITE 4",SAN ANTONIO,TX,78201-3848," (877) 432-9355"
Non-plus,Border Region,702,South 2nd Street H-E-B,200  W. EXPRESSWAY 83,MCALLEN,TX,78501-2951," (956) 630-2913"
Non-plus,Houston Region,705,Spring Creek Market H-E-B,3540 RAYFORD RD,SPRING,TX,77386-4343," (281) 528-2380"
Non-plus,Houston Region,707,Lake Jackson H-E-B,97 OYSTER CREEK DRIV,LAKE JACKSON,TX,77566-4622," (979) 297-1288"
Non-plus,Central Texas Region,708,Wimberley H-E-B,14501 RR12,WIMBERLEY,TX,78676-6215," (512) 842-3700"
Non-plus,Houston Region,709,H-E-B Market at Tuckerton,9722 FRY ROAD,CYPRESS,TX,77433-4847," (281) 205-6200"
Non-plus,Central Texas Region,710,Slaughter and South Congress H-E-B,8801 SOUTH CONGRESS AVENUE,AUSTIN,TX,78745-0," (737) 236-8348"
Non-plus,North West Region,711,Odessa H-E-B University Blvd,2501 W UNIVERSITY BLVD,ODESSA,TX,79764-7155," (432) 368-8400"
Non-plus,Gulf Coast Region,712,Cuero H-E-B,909 E BROADWAY,CUERO,TX,77954-2126," (361) 275-6144"
Non-plus,Houston Region,713,Clear Lake Marketplace H-E-B,3501 CLEAR LAKE CITY BLVD,HOUSTON,TX,77059-2511," (281) 212-8800"
Non-plus,Central Texas Region,714,Lakeway H-E-B,2000 RANCH ROAD 620 S,LAKEWAY,TX,78734-6238," (512) 599-5800"
Non-plus,Houston Region,715,Deer Park H-E-B,4701 EAST BLVD,DEER PARK,TX,77536-5404," (281) 930-0326"
Non-plus,San Antonio Region,716,Seguin H-E-B,1340 E COURT ST,SEGUIN,TX,78155-5131," (830) 379-8384"
Non-plus,North West Region,717,Midland Loop 250 H-E-B,5407 ANDREWS HIGHWAY,MIDLAND,TX,79706-2851," (432) 699-8201"
Non-plus,San Antonio Region,718,South Flores Market H-E-B,516 S FLORES STREET,SAN ANTONIO,TX,78204-1217," (210) 444-1879"
Convenience,Convenience Stores,719,Bandera & 1604 H-E-B Convenience Store,11652 BANDERA RD,SAN ANTONIO,TX,78250-0," (210) 600-3100"
Non-plus,Houston Region,720,Kingwood Market H-E-B,4517 KINGWOOD DRIVE,KINGWOOD,TX,77345-2621," (281) 361-0342"
Non-plus,North West Region,721,Fort Hood Stan Schlueter H-E-B,1101 W. STAN SCHLUETER LOOP,KILLEEN,TX,76542-0," (254) 226-3600"
Non-plus,Houston Region,722,Magnolia Market H-E-B,7988 FM 1488,MAGNOLIA,TX,77354-1611," (832) 934-3400"
Non-plus,Houston Region,724,Aliana Market H-E-B,10161 W GRAND PARKWAY S,RICHMOND,TX,77407-8643," (281) 295-3300"
Non-plus,Houston Region,725,Champion Forest Market H-E-B,20311 CHAMPION FOREST DRIVE,SPRING,TX,77379-8693," (832) 717-5600"
Non-plus,Houston Region,727,Richmond Market H-E-B,23500 CIRCLE OAK PARKWAY,RICHMOND,TX,77469-2509," (832) 595-5337"
Non-plus,Houston Region,728,Huntsville H-E-B,1702 11TH ST.,HUNTSVILLE,TX,77340-3723," (936) 291-6994"
Convenience,Convenience Stores,729,Hutto H-E-B Convenience Store,5008 GATTIS SCHOOL ROAD,HUTTO,TX,78634-0," (512) 520-1200"
Joe V's Smart Shop,Houston Smart Shop,731,FM 1960 Smart Shop,2929 FM1960 RD.,HOUSTON,TX,77073-2609," (281) 784-4200"
Non-plus,San Antonio Region,732,Bulverde and 1604 H-E-B,17238 BULVERDE ROAD,SAN ANTONIO,TX,78247-0," (210) 642-4700"
Non-plus,San Antonio Region,733,Alamo Ranch H-E-B,12125 ALAMO RANCH PKWY,SAN ANTONIO,TX,78253-0," (210) 963-3102"
Non-plus,North West Region,734,Sherwood & FM 2288 H-E-B,5502 SHERWOOD WAY,SAN ANGELO,TX,76901-0," (325) 223-3101"
Non-plus,Central Texas Region,735,Marble Falls H-E-B,1503 FM 1431,MARBLE FALLS,TX,78654-4902," (830) 693-3561"
Non-plus,Houston Region,736,Cross Creek Ranch H-E-B,4950 FM 1463,KATY,TX,77494-5426," (346) 387-7200"
Non-plus,Houston Region,737,The Heights H-E-B,2300 N. SHEPHERD DR.,HOUSTON,TX,77008-0," (713) 802-8100"
Non-plus,Houston Region,738,Bellaire Market H-E-B,5106 BISSONNET,BELLAIRE,TX,77401-4019," (713) 218-1600"
Convenience,Convenience Stores,739,Bulverde & 1604 Convenience Store,17439 CLASSEN RD.,SAN ANTONIO,TX,78247-0," (210) 642-4791"
Non-plus,Houston Region,741,Mont Belvieu H-E-B,13401 I-10 EAST,MONT BELVIEU,TX,77523-0," (281) 576-3500"
Non-plus,Houston Region,742,Baytown H-E-B,6430 GARTH ROAD,BAYTOWN,TX,77521-9638," (281) 421-5300"
Non-plus,Houston Region,744,Buffalo Heights H-E-B On Washington Ave,3663 WASHINGTON AVE. STE. 100,HOUSTON,TX,77007-0," (832) 673-3100"
Non-plus,Houston Region,745,Meyerland Market H-E-B,4955 BEECHNUT STREET,HOUSTON,TX,77096-4001," (713) 662-4000"
Non-plus,Houston Region,746,Jones Crossing H-E-B,11675 FM 2154,COLLEGE STATION,TX,77845-4737," (979) 680-3200"
Central Market,Central Market,747,Central Market Midway,4349 W. NORTHWEST HIGHWAY,DALLAS,TX,75220-3854," (469) 697-7800"
Non-plus,Houston Region,748,H-E-B Market at Gosling,5251 FM 2920,SPRING,TX,77388-0," (281) 323-6400"
Non-plus,Houston Region,749,Spring Green Market H-E-B,9211 FM 723 RD,RICHMOND,TX,77406-0," (346) 239-3500"
Non-plus,North West Region,750,H-E-B Mansfield,1670 E. BROAD ST.,MANSFIELD,TX,76063-0," (682) 400-8756"
Non-plus,North West Region,752,Hudson Oaks H-E-B,100 HUDSON OAKS DR,HUDSON OAKS,TX,76087-0," (817) 599-1299"
Joe V's Smart Shop,Houston Smart Shop,753,Pasadena Smart Shop,4203 RED BLUFF ROAD,PASADENA,TX,77503-3608," (281) 478-8400"
Non-plus,Central Texas Region,754,SoCo H-E-B,2400 S. CONGRESS AVE.,AUSTIN,TX,78704-0," (737) 610-6060"
Non-plus,Houston Region,756,MacGregor Market H-E-B,6055 SOUTH FREEWAY,HOUSTON,TX,77004-0," (713) 285-2600"
Non-plus,Houston Region,757,Harper's Trace H-E-B,10200 HIGHWAY 242,CONROE,TX,77385-4383," (936) 266-1100"
Non-plus,Houston Region,759,H-E-B Market at Northpark,19529 NORTHPARK DR.,KINGWOOD,TX,77339-0," (281) 312-8889"
Non-plus,Houston Region,760,Manvel H-E-B,17119 HIGHWAY 6,MANVEL,TX,77578-0," (281) 305-3949"
Non-plus,Central Texas Region,765,Oak Hill H-E-B,7901 US-290,AUSTIN,TX,78736-8300," (512) 288-5440"
Non-plus,Houston Region,767,H-E-B Magnolia Place,13663 FM 1488,MAGNOLIA,TX,77354-0," (346) 703-3104"
Non-plus,Central Texas Region,768,Lake Austin H-E-B,2652 LAKE AUSTIN BLVD,AUSTIN,TX,78703-0," (737) 610-6321"
Non-plus,Houston Region,769,El Dorado H-E-B,18611 EASTFIELD DR,WEBSTER,TX,77598-1303," (281) 488-1601"
Non-plus,San Antonio Region,770,Kerrville H-E-B On Main Street,300 W. MAIN ST.,KERRVILLE,TX,78028-0," (830) 896-3600"
Non-plus,San Antonio Region,771,211 and Potranco H-E-B,14325 POTRANCO RD.,SAN ANTONIO,TX,78253-7121," (210) 688-4662"
Non-plus,North West Region,772,Lubbock H-E-B,4405 114TH STREET,LUBBOCK,TX,79424-0," (806) 698-5900"
Non-plus,Specialty Pharmacies,773,H-E-B Pharmacy at the UTHTB,1601 TRINITY ST,AUSTIN,TX,78712-0," (512) 320-9998"
Non-plus,Central Texas Region,774,H-E-B at Ronald Reagan Blvd,19348 RONALD W.REAGAN BLVD,GEORGETOWN,TX,78628-0," (512) 843-4902"
Non-plus,San Antonio Region,775,New Braunfels H-E-B at Walnut,651 S.WALNUT,NEW BRAUNFELS,TX,78130-5722," (830) 608-0017"
Non-plus,Central Texas Region,780,Nutty Brown H-E-B,12021 W US 290,AUSTIN,TX,78737-9999," (737) 610-5789"
Non-plus,Central Texas Region,781,Wolf Lakes Village H-E-B,1010 W. UNIVERSITY AVE.,GEORGETOWN,TX,78628-9999," (512) 930-5581"
Convenience,Convenience Stores,782,H-E-B Fresh Bites Convenience Store,19344 RONALD W. REAGAN BLVD.,GEORGETOWN,TX,78628-9999," (512) 843-4984"
Non-plus,San Antonio Region,785,H-E-B Cibolo,850 FM 1103 SUITE 100,CIBOLO,TX,78108-9999," (210) 507-2501"
Non-plus,North West Region,789,H-E-B Main St,4800 MAIN STREET,FRISCO,TX,75033-0," (469) 473-4419"
Non-plus,North West Region,790,H-E-B Plano,6001 PRESTON ROAD SUITE 100,PLANO,TX,75093-0," (469) 395-0660"
Non-plus,Houston Region,791,H-E-B Willis,"12350 INTERSTATE 45 N,",WILLIS,TX,77378-9999," (936) 272-2000"
Joe V's Smart Shop,Houston Smart Shop,792,Katy Smart Shop,4107 NORTH FRY ROAD,KATY,TX,77449-0," (281) 456-4250"
Non-plus,San Antonio Region,793,Fair Oaks H-E-B,29388 I-10 WEST,BOERNE,TX,78006-0," (830) 368-4777"
Non-plus,North West Region,794,H-E-B McKinney,8700 ELDORADO PARKWAY,MCKINNEY,TX,75070-0," (469) 631-7483"
Non-plus,North West Region,795,H-E-B Forney,11700 E. US Hwy 80,FORNEY,TX,75126-0," (972) 532-3118"
Non-plus,North West Region,796,H-E-B Allen,575 E. EXCHANGE PKWY,ALLEN,TX,75002-0," (469) 656-9401"
Non-plus,Houston Region,797,Katy Park H-E-B,24924 MORTON RANCH RD,KATY,TX,77493-0," (281) 547-1365"
Non-plus,Houston Region,798,Madera Run H-E-B,16000 WOODLAND HILLS DRIVE,Humble,TX,77346-5318," (281) 547-6503"
Non-plus,San Antonio Region,799,College Park H-E-B,7330 N Loop 1604,SAN ANTONIO,TX,78249-0," (210) 343-2220"
Non-plus,North West Region,801,H-E-B Alliance,3451 HERITAGE TRACE PARKWAY,FORT WORTH,TX,76177-7505," (682) 708-1623"
Non-plus,North West Region,802,H-E-B Frisco Hwy 380 at FM 423,899 UNIVERSITY DR.,FRISCO,TX,75033-0," (972) 346-7324"
Joe V's Smart Shop,DFW Smart Shop,803,Wheatland Smart Shop,4101 W. WHEATLAND ROAD,DALLAS,TX,75237-0," (214) 484-3592"
Non-plus,Central Texas Region,804,Pflugerville Parkway H-E-B,2641 E. Pflugerville Pkwy,PFLUGERVILLE,TX,78660-0," (512) 646-8800"
Joe V's Smart Shop,DFW Smart Shop,805,Buckner Samuell Smart Shop,7700 Samuell Blvd.,DALLAS,TX,75227-0," (469) 608-5781"
Non-plus,Houston Region,806,Bridgeland H-E-B,20017 Bridgeland Creek Pkwy,CYPRESS,TX,77433-0," (281) 654-4400"
Non-plus,San Antonio Region,807,Culebra and 211 H-E-B,15489 Culebra Rd.,SAN ANTONIO,TX,78253-4602," (726) 220-5239"
Non-plus,North West Region,808,H-E-B Melissa,1230 CENTRAL EXPRESSWAY,MELISSA,TX,75454-0," (469) 447-5850"
Non-plus,North West Region,809,H-E-B Prosper,2145 W. Frontier Pkwy,Prosper,TX,75078-0," (469) 715-1139"
Non-plus,North West Region,810,H-E-B Rockwall,1600 E. Interstate 30,ROCKWALL,TX,75087-6228," (972) 961-1650"
Non-plus,Central Texas Region,811,H-E-B Manor,"13100 N FM 973, Building 1",MANOR,TX,78653-0," (737) 394-4625"
Non-plus,Central Texas Region,812,Parmer Ranch H-E-B,10110 RM 2338,GEORGETOWN,TX,78633-0," (737) 290-0451"
Joe V's Smart Shop,Houston Smart Shop,813,I45 & West Rd Smart Shop,10241 North Freeway Service Rd,HOUSTON,TX,77037-0," (281) 984-2610"
Non-plus,Houston Region,814,Jordan Ranch H-E-B,29711 Jordan Crossing Blvd.,Katy,TX,77494-0," (832) 271-2944"
Joe V's Smart Shop,DFW Smart Shop,815,Irving Joe V's Smart Shop,2407 W. Airport Fwy,Irving,TX,75062-0," (972) 327-7969"
Non-plus,North West Region,817,H-E-B Irving,2351 W. Interstate Hwy 635,Irving,TX,75063-0," (972) 957-7710"
Non-plus,North West Region,818,H-E-B Murphy,740 E FM 544,Murphy,TX,75094-0," (999) 999-9999"
Non-plus,North West Region,819,H-E-B Mid Cities,2105 Rio Grande Blvd.,Euless,TX,76039-2333," (817) 662-7341"
Non-plus,San Antonio Region,904,RX RELIEF UNIT,SET-UP 8/5/2009,none,,0-0," (0) 0-"
